action_name,importance,severity,executions,latest_sample_time_unix_ns
"search-products","normal","unset","916","1780171260000000000"
"select-language:swedish","normal","unset","728","1780171260000000000"
"select-language:american-english","normal","unset","720","1780171260000000000"
"shopping-cart:add-detail-item:mens-midlayer-grid","normal","unset","680","1780171260000000000"
"close-product-detail:mens-midlayer-grid","normal","unset","678","1780171260000000000"
"sort-products:price-low","normal","unset","414","1780171260000000000"
"select-region:se","normal","unset","364","1780171260000000000"
"select-region:us","normal","unset","360","1780171260000000000"
"select-department:womens","normal","unset","359","1780171260000000000"
"select-department:mens","normal","unset","353","1780171260000000000"
"select-category:mens-mid-layers","normal","unset","349","1780171260000000000"
"view-product:product-grid-mens-midlayer-grid","normal","unset","344","1780171260000000000"
"shopping-cart:add-item:mens-midlayer-grid","normal","unset","339","1780171260000000000"
"shopping-cart:add-sale-item:mens-midlayer-grid","normal","unset","339","1780171260000000000"
"edit-account-name","normal","unset","338","1780171260000000000"
"shopping-cart:checkout","critical","unset","338","1780171260000000000"
"view-product:sale-grid-mens-midlayer-grid","normal","unset","338","1780171260000000000"
"checkout-dialog:close","normal","unset","337","1780171260000000000"
"shopping-cart:change-quantity:mens-midlayer-grid","normal","unset","337","1780171260000000000"
"shopping-cart:remove-item:mens-midlayer-grid","normal","unset","335","1780171260000000000"
"edit-account-email","normal","unset","334","1780171260000000000"
"edit-shipping-address","normal","unset","334","1780171260000000000"
"save-account","critical","unset","334","1780171260000000000"
"shopping-cart:add-sale-item:womens-softshell-hoody","normal","unset","6","1780167720000000000"
"shopping-cart:add-sale-item:mens-trail-pant","normal","unset","3","1780171260000000000"
"select-language:british-english","normal","unset","2","1780169880000000000"
"select-language:french","normal","unset","2","1780171260000000000"
"select-language:mandarin","normal","unset","2","1780169880000000000"
"shopping-cart:add-item:mens-daypack-22","normal","unset","2","1780171260000000000"
"auth:google-login-complete","normal","unset","1","1780170060000000000"
"auth:google-login-start","normal","unset","1","1780170060000000000"
"navigate-checkout:grafana","normal","unset","1","1780169760000000000"
"navigate-header:cart","normal","unset","1","1780169220000000000"
"select-region:ca","normal","unset","1","1780171260000000000"
"select-region:cn","normal","unset","1","1780169880000000000"
"select-region:uk","normal","unset","1","1780169880000000000"
"shopping-cart:checkout","normal","unset","1","1780171260000000000"
"shopping-cart:remove-item:womens-rain-cap","normal","unset","1","1780167720000000000"
"view-product:product-grid-mens-shell-alpha","normal","unset","1","1780171260000000000"
