action_name,importance,severity,executions,latest_sample_time_unix_ns
"search-products","normal","unset","305","1780927020000000000"
"select-language:american-english","normal","unset","242","1780927020000000000"
"select-language:swedish","normal","unset","240","1780927020000000000"
"close-product-detail:mens-midlayer-grid","normal","unset","238","1780927020000000000"
"shopping-cart:add-detail-item:mens-midlayer-grid","normal","unset","238","1780927020000000000"
"sort-products:price-low","normal","unset","168","1780927020000000000"
"navigate-sale:spring-collection-sale","normal","unset","121","1780927020000000000"
"select-department:womens","normal","unset","121","1780927020000000000"
"select-region:us","normal","unset","121","1780927020000000000"
"checkout-dialog:close","normal","unset","120","1780927020000000000"
"navigate-hero:shop-new-arrivals","normal","unset","120","1780927020000000000"
"select-category:mens-mid-layers","normal","unset","120","1780927020000000000"
"select-department:mens","normal","unset","120","1780927020000000000"
"select-region:se","normal","unset","120","1780927020000000000"
"edit-account-email","normal","unset","119","1780927020000000000"
"edit-account-name","normal","unset","119","1780927020000000000"
"edit-shipping-address","normal","unset","119","1780927020000000000"
"navigate-brand-family:ensemble","normal","unset","119","1780927020000000000"
"navigate-brand-family:outlet","normal","unset","119","1780927020000000000"
"navigate-brand-family:regear","normal","unset","119","1780927020000000000"
"navigate-brand-family:trail-lab","normal","unset","119","1780927020000000000"
"navigate-header:account","normal","unset","119","1780927020000000000"
"navigate-header:cart","normal","unset","119","1780927020000000000"
"navigate-header:shop","normal","unset","119","1780927020000000000"
"navigate-sale:shop-all","normal","unset","119","1780927020000000000"
"navigate-utility:find-store","normal","unset","119","1780927020000000000"
"navigate-utility:help","normal","unset","119","1780927020000000000"
"save-account","critical","unset","119","1780927020000000000"
"shopping-cart:add-item:mens-midlayer-grid","normal","unset","119","1780927020000000000"
"shopping-cart:add-sale-item:mens-midlayer-grid","normal","unset","119","1780927020000000000"
"shopping-cart:change-quantity:mens-midlayer-grid","normal","unset","119","1780927020000000000"
"shopping-cart:checkout","critical","unset","119","1780927020000000000"
"shopping-cart:remove-item:mens-midlayer-grid","normal","unset","119","1780927020000000000"
"view-product:product-grid-mens-midlayer-grid","normal","unset","119","1780927020000000000"
"view-product:sale-grid-mens-midlayer-grid","normal","unset","119","1780927020000000000"
"select-language:french","normal","unset","4","1780927020000000000"
"shopping-cart:add-sale-item:womens-softshell-hoody","normal","unset","4","1780927020000000000"
"select-language:british-english","normal","unset","2","1780927020000000000"
"select-language:mandarin","normal","unset","2","1780927020000000000"
"select-region:ca","normal","unset","2","1780927020000000000"
"auth:google-login-complete","normal","unset","1","1780927020000000000"
"auth:google-login-error","normal","unset","1","1780927020000000000"
"auth:google-login-start","critical","unset","1","1780927020000000000"
"select-category:mens-packs","normal","unset","1","1780927020000000000"
"select-category:womens-all","normal","unset","1","1780927020000000000"
"select-category:womens-base-layers","normal","unset","1","1780927020000000000"
"select-category:womens-pants","normal","unset","1","1780927020000000000"
"select-category:womens-shells","normal","unset","1","1780927020000000000"
"select-region:cn","normal","unset","1","1780927020000000000"
"select-region:uk","normal","unset","1","1780927020000000000"
"shopping-cart:add-item:womens-base-merino","normal","unset","1","1780927020000000000"
"shopping-cart:add-item:womens-softshell-hoody","normal","unset","1","1780927020000000000"
"shopping-cart:add-sale-item:mens-trail-pant","normal","unset","1","1780927020000000000"
"shopping-cart:checkout","normal","unset","1","1780927020000000000"
"shopping-cart:remove-item:mens-daypack-22","normal","unset","1","1780927020000000000"
"shopping-cart:remove-item:mens-shell-alpha","normal","unset","1","1780927020000000000"
"shopping-cart:remove-item:mens-trail-pant","normal","unset","1","1780927020000000000"
