action_name,importance,severity,executions,latest_sample_time_unix_ns
"search-products","normal","unset","3137","1780265880000000000"
"select-language:swedish","normal","unset","2490","1780265880000000000"
"select-language:american-english","normal","unset","2488","1780265880000000000"
"close-product-detail:mens-midlayer-grid","normal","unset","2472","1780265880000000000"
"shopping-cart:add-detail-item:mens-midlayer-grid","normal","unset","2472","1780265880000000000"
"sort-products:price-low","normal","unset","1753","1780265880000000000"
"navigate-utility:help","normal","unset","1246","1780265880000000000"
"navigate-brand-family:ensemble","normal","unset","1245","1780265880000000000"
"navigate-brand-family:outlet","normal","unset","1245","1780265880000000000"
"navigate-brand-family:regear","normal","unset","1245","1780265880000000000"
"navigate-brand-family:trail-lab","normal","unset","1245","1780265880000000000"
"navigate-header:shop","normal","unset","1245","1780265880000000000"
"navigate-hero:shop-new-arrivals","normal","unset","1245","1780265880000000000"
"navigate-sale:spring-collection-sale","normal","unset","1245","1780265880000000000"
"navigate-utility:find-store","normal","unset","1245","1780265880000000000"
"select-department:mens","normal","unset","1245","1780265880000000000"
"select-department:womens","normal","unset","1245","1780265880000000000"
"select-region:se","normal","unset","1245","1780265880000000000"
"navigate-header:account","normal","unset","1244","1780265880000000000"
"navigate-header:cart","normal","unset","1244","1780265880000000000"
"navigate-sale:shop-all","normal","unset","1244","1780265880000000000"
"select-region:us","normal","unset","1244","1780265880000000000"
"shopping-cart:add-sale-item:mens-midlayer-grid","normal","unset","1238","1780265880000000000"
"select-category:mens-mid-layers","normal","unset","1237","1780265880000000000"
"checkout-dialog:close","normal","unset","1236","1780265880000000000"
"edit-account-email","normal","unset","1236","1780265880000000000"
"edit-shipping-address","normal","unset","1236","1780265880000000000"
"save-account","critical","unset","1236","1780265880000000000"
"shopping-cart:add-item:mens-midlayer-grid","normal","unset","1236","1780265880000000000"
"shopping-cart:change-quantity:mens-midlayer-grid","normal","unset","1236","1780265880000000000"
"shopping-cart:checkout","critical","unset","1236","1780265880000000000"
"shopping-cart:remove-item:mens-midlayer-grid","normal","unset","1236","1780265880000000000"
"view-product:product-grid-mens-midlayer-grid","normal","unset","1236","1780265880000000000"
"view-product:sale-grid-mens-midlayer-grid","normal","unset","1236","1780265880000000000"
"edit-account-name","normal","unset","1235","1780265880000000000"
"select-language:british-english","normal","unset","2","1780265880000000000"
"select-language:french","normal","unset","2","1780265880000000000"
"select-language:mandarin","normal","unset","2","1780265880000000000"
"auth:google-login-error","normal","unset","1","1780265880000000000"
"select-region:ca","normal","unset","1","1780265880000000000"
"select-region:cn","normal","unset","1","1780265880000000000"
"select-region:uk","normal","unset","1","1780265880000000000"
"shopping-cart:add-item:mens-daypack-22","normal","unset","1","1780265880000000000"
"shopping-cart:add-sale-item:mens-trail-pant","normal","unset","1","1780265880000000000"
